dataset,dataset_id,sub_heading,data_element,data_element_code,data_element_id
SECTION 4,43,Eye & ENT,Conjunctivitis,sec4_43,GO7pZLVvHFF
SECTION 4,44,Eye & ENT,Otitis Media,sec4_44,uIh6lZUWfJR
SECTION 4,45,Oro - Dental Diseases,Dental Caries,sec4_45,kEjoA8zyQ2k
SECTION 4,46,Oro - Dental Diseases,Periodontitis,sec4_46,CFhRK0LD8Vr
SECTION 4,47,Oro - Dental Diseases,Sub Mucosal Fibrosis,sec4_47,sd4yd7uZgdn
SECTION 4,48,Oro - Dental Diseases,Oral Ulcers,sec4_48,uneUnP27cMI
SECTION 4,49,Injuries / Poisoning,Road Traffic Accidents,sec4_49,ZPTSGf385Kt
SECTION 4,50,Injuries / Poisoning,Fractures,sec4_50,vgJ69kKLmf4
SECTION 4,51,Injuries / Poisoning,Burns,sec4_51,hINoFLx0rez
SECTION 4,52,Injuries / Poisoning,Dog Bite,sec4_52,WU3FY548vRv
SECTION 4,53,Injuries / Poisoning,Snake Bite (with sings / symptoms of poisoning),sec4_53,ifYKTSlCP7t
SECTION 4,54,Neonatal Dieases,Birth Asphxia,sec4_54,gssx0cyXwqx
SECTION 4,55,Neonatal Dieases,Neonatal Sepsis,sec4_55,AGuTdRNZDsg
SECTION 4,56,Miscellaneous Dieases,Fever due to other causes,sec4_56,rc9z7hD2SUU
SECTION 4,57,Miscellaneous Dieases,Suspected Meningitis,sec4_57,DNdnSBYQBxy
SECTION 4,58,Miscellaneous Dieases,Acute Flaccid Paralysis,sec4_58,Bw1eaN9nrpj
SECTION 4,59,Miscellaneous Dieases,Suspected HIV / AIDS,sec4_59,SFRaMvLU1tK
SECTION 5,1,,Children < 12 months received 3rd pentavelent vaccine:,sec5_1,
SECTION 5,2,,Children < 12 months received 1st Measles vaccine:,sec5_2,DwUBD6gfZhF
SECTION 5,3,,Pregnant women received TT - 2 Vaccine,sec5_3,KVWgGEiVdnI
SECTION 6,1,,Number of diagnosed cases AFB +ve / chinical / extra Pulmonary,sec6_1,
SECTION 6,2,,Number of TB cases started treatment during the month,sec6_2,
SECTION 6,3,,Number of TB cases completed treatment during the month,sec6_3,
SECTION 7,1," Family Planning Services (From FP Register)",Total FP new clients,sec7_1,DaJefrb8bzv
SECTION 7,2," Family Planning Services (From FP Register)",Total FP follow-up clients,sec7_2,WvlU3DfRr8c
SECTION 7,3," Family Planning Services (From FP Register)",COC clients,sec7_3,aeLAf75l5N1
SECTION 7,4," Family Planning Services (From FP Register)",POP clients,sec7_4,Rbe9v87MJfY
SECTION 7,5," Family Planning Services (From FP Register)",DMPA Inj. Clients,sec7_5,GCdXKlVY2UR
SECTION 7,6," Family Planning Services (From FP Register)",Net - EnInj clients,sec7_6,ya2fNL7hF5G
SECTION 7,7," Family Planning Services (From FP Register)",Condom clients,sec7_7,JZ25oolTqSk
SECTION 7,8," Family Planning Services (From FP Register)",IUCD clients,sec7_8,SOB0N6gyN03
SECTION 7,9," Family Planning Services (From FP Register)",PPIUCD clients,sec7_9,bwFlXQr3q9p
SECTION 7,10," Family Planning Services (From FP Register)",Tubal Ligation clients,sec7_10,OJJ2Q5wBzDf
SECTION 7,11," Family Planning Services (From FP Register)",Vasectomy clients,sec7_11,l1JvxTcqBWp
SECTION 7,12," Family Planning Services (From FP Register)",Implant clients,sec7_12,FQHdNkJkC0j
SECTION 7,13," Family Planning Services (From FP Register)",PP Implant clients,sec7_13,JnmD2EIpdMN
SECTION 7,14," Family Planning Services (From FP Register)",Counseling provided on FP,sec7_14,fYOOJoj9ueJ
SECTION 7,,"Contraceptive Commodities
(From Stock Register)",Balance during the month,,x4wuQm8Rkob
SECTION 7,1,,Condoms (pieces) seccom_1 - Opening,seccom_1_1,wREL0oZpk0l
SECTION 7,1,,Condoms (pieces) seccom_1 - Received,seccom_1_2,TlIwhRHNIyl
SECTION 7,1,,Condoms (pieces) seccom_1 - Consumed,seccom_1_3,ge6B7Hstn16
SECTION 7,1,,Condoms (pieces) seccom_1 - Closing,seccom_1_4,uqT1Yuaqn5L
SECTION 7,,,,,
SECTION 7,2,,Oral pills - COC (cycles) seccom_2 - Opening,seccom_2_1,lQ4qfZQhSGq
SECTION 7,2,,Oral pills - COC (cycles) seccom_2 - Received,seccom_2_2,GeLk4wZvQ76
SECTION 7,2,,Oral pills - COC (cycles) seccom_2 - Consumed,seccom_2_3,bjNjwtQbZpM
SECTION 7,2,,Oral pills - COC (cycles) seccom_2 - Closing,seccom_2_4,HVLEZIEdjB2
SECTION 7,,,,,
SECTION 7,3,,Oral pills - POP (cycles) seccom_3 - Opening,seccom_3_1,UC7GfzzpB3a
SECTION 7,3,,Oral pills - POP (cycles) seccom_3 -Received,seccom_3_2,Gj8VwY8eRGG
SECTION 7,3,,Oral pills - POP (cycles) seccom_3 - Consumed,seccom_3_3,hc8cP5Dolov
SECTION 7,3,,Oral pills - POP (cycles) seccom_3 - Closing,seccom_3_4,AHdcP2jg8hr
SECTION 7,,,,,
SECTION 7,4,,IUCD (pieces)  seccom_4 -Opening,seccom_4_1,WsbFdzT3skJ
SECTION 7,4,,IUCD (pieces)  seccom_4 -Received,seccom_4_2,SeMPllNkIv8
SECTION 7,4,,IUCD (pieces)  seccom_4 -Consumed,seccom_4_3,lWgtKJlaojz
SECTION 7,4,,IUCD (pieces)  seccom_4 -Closing,seccom_4_4,zWKXtkJGvXp
SECTION 7,,,,,
SECTION 7,5,,Injection DMPA (vials)   seccom_5 - Opening,seccom_5_1,Om5QtGejvqR
SECTION 7,5,,Injection DMPA (vials)   seccom_5 - Received,seccom_5_2,ZEUvtpw10iW
SECTION 7,5,,Injection DMPA (vials)   seccom_5 - Consumed,seccom_5_3,bf2knPtrfAA
SECTION 7,5,,Injection DMPA (vials)   seccom_5 - Closing,seccom_5_4,ADCInkd8CFi
SECTION 7,,,,,
SECTION 7,6,,Injection Net-En  seccom_6 - Opening,seccom_6_1,nMBiwhLn9jE
SECTION 7,6,,Injection Net-En  seccom_6 - Received,seccom_6_2,w3KT9BAyw4W
SECTION 7,6,,Injection Net-En  seccom_6 - Consumed,seccom_6_3,yGnGSzRpzqx
SECTION 7,6,,Injection Net-En  seccom_6 - Closing,seccom_6_4,eQ78TJvS3Lh
SECTION 7,,,,,
SECTION 7,7,,Implant  seccom_7 -Opening,seccom_7_1,IasLKPKNf0P
SECTION 7,7,,Implant  seccom_7 - Received,seccom_7_2,V8zu9eXD85C
SECTION 7,7,,Implant  seccom_7 - Consumed,seccom_7_3,iPVHQvlduQq
SECTION 7,7,,Implant  seccom_7 - Closing,seccom_7_4,UxVLp8DHYRW
SECTION 7,,,,,
SECTION 7,8,,Any other (specify)  seccom_8 Opening,seccom_8_1,k9acU4qfIKV
SECTION 7,8,,Any other (specify)  seccom_8 Received,seccom_8_2,N4SNRboHfgD
SECTION 7,8,,Any other (specify)  seccom_8 Consuming,seccom_8_3,T6EMjHLgxa1
SECTION 7,8,,Any other (specify)  seccom_8 Closing,seccom_8_4,GwuzUPIlAzF
Section 8,1,,ANC - 1,sec8_1,yyoY1aNX4yo
Section 8,2,,ANC - 1 women with Hb < 10 g/dl,sec8_2,IA44RQNWfs1
Section 8,3,,ANC - 2,sec8_3,MBDBktqKNLh
Section 8,4,,ANC - 3,sec8_4,XFL54gAXsj7
Section 8,5,,ANC - 4 or More,sec8_5,YV1Yn4y2JBT
Section 8,6,,PNC - 1,sec8_6,UXsCQxQLqBA
Section 8,7,,PNC - 2,sec8_7,jAEHJSueqqZ
Section 8,8,,PNC - 3,sec8_8,ZWYaQsoF3s9
Section 8,9,,PNC - 4,sec8_9,GJ5RMFbhpA1
Section 8,10,,Malnourished Pregnant women (ANC - 1),sec8_10,dPrz5YtKXRc
Section 8,11,,Malnourished Lactating women (PNC - 1),sec8_11,Gr00sqSE0ge
Section 8,12,,PW given Misoprostol Tables,sec8_12,A8CXFY4OmVy
Section 8,13,,Normal Vaginal Deliveries,sec8_13,cKayXJZhvct
Section 8,14,,Assisted Deliveries,sec8_14,i0XBGyICNh7
Section 8,15,,Cesarean Sections,sec8_15,jHNIB4rcB11
Section 8,16,,Total Live births,sec8_16,
Section 8,17,,Live births with LBW (< 2.5 kg),sec8_17,giB8NstRTuw
Section 8,18,,Preterm Live births,sec8_18,ambYHQgXonO
Section 8,19,,Birth Asphyxia,sec8_19,WufBFFHtVyv
Section 8,20,,Neonatal sepsis,sec8_20,MDclJueMtXY
Section 8,21,,Still births,sec8_21,
Section 8,22,,Neonates received Chlorohexidine (CHX),sec8_22,Yt3asPJy33i
Section 8,23,,Neonatal deaths in the facility,sec8_23,fJjoSwW5KeM
Section 8,24,,Women Reffered for PPIUCD,sec8_24,
Section 9,1,,No. of community meetings   sec9_1- Male,sec9_1_1,dqlzlistPhA
Section 9,1,,No. of community meetings   sec9_1 - Female,sec9_1_2,HENXOUsLZoW
Section 9,2,,"No. of Health Education Sessions  sec9_2  -Male                                                     ",sec9_2_1,
Section 9,2,,No. of Health Education Sessions  sec9_2 - Female,sec9_2_2,ZmzMZDmoO1v
Section 10,1,Services Provided,Total Lab Invetigations - OPD,sec10_1_1,
Section 10,1,Services Provided,Total Lab Invetigations -Indoor,sec10_1_2,
Section 10,,Services Provided,,,
Section 10,2,Services Provided,Total X - rays -OPD,sec10_2_1,
Section 10,2,Services Provided,Total X - rays -Indoor,sec10_2_2,
Section 10,,Services Provided,,,
Section 10,1.1,Services Provided,Total Ultra Sonographies -OPD,sec10_3_1,
Section 10,1.1,Services Provided,Total Ultra Sonographies -Indoor,sec10_3_2,
Section 10,,Services Provided,,,
Section 10,2.1,Services Provided,Total ECGs -OPD,sec10_4_1,
Section 10,2.1,Services Provided,Total ECGs - Indoor,sec10_4_2,
Section 10,,Malaria,,,
Section 10,1,Malaria,Slides examined,sec10_5,KiBVGEv6msL
Section 10,2,Malaria,Slides MP +ve,sec10_6,JNTsxaxLIFs
Section 10,3,Malaria,Slides P. falciparum +ve,sec10_7,hajbLWPYObx
Section 10,4,Malaria,Slides P. Vivax +ve,sec10_8,YT0hNpwTkMt
Section 10,5,Malaria,Rapid Diagnostic Test (RDT),sec10_9,dtBId9RsH3a
Section 10,1,T.B,Slides for AFB Diagnosis (new),sec10_10,
Section 10,2,T.B,"Slides diagosed cases 
(AFB +ve)",sec10_11,
Section 10,1,Viral Hepatitis,Patients screened,sec10_12,
Section 10,2,Viral Hepatitis,Hepatitis B +ve,sec10_13,
Section 10,3,Viral Hepatitis,Hepatitis C +ve,sec10_14,
Section 11-A,1,,Cap. Amoxicillin,sec11a_1,ETzopS9fyLr
Section 11-A,2,,Amoxicillin Dispersable Tablet,sec11a_2,X3I6a8QV2Hi
Section 11-A,3,,Syp. Amoxicillin,sec11a_3,
Section 11-A,4,,Tab. Cotrimoxazole,sec11a_4,
Section 11-A,5,,Syp. Cotrimoxazole,sec11a_5,
Section 11-A,6,,Tab. Metronidazole,sec11a_6,
Section 11-A,7,,Syp. Metronidazole,sec11a_7,
Section 11-A,8,,Syp. Metronidazole,sec11a_8,
Section 11-A,9,,Tab. Diclofenac,sec11a_9,
Section 11-A,10,,Syp. Paracetamol,sec11a_10,
Section 11-A,11,,Inj. Diclofenac,sec11a_11,G9w56Va5cbA
Section 11-A,12,,Tab. Chloroquin,sec11a_12,
Section 11-A,13,,Syp. Salbutamol,sec11a_13,
Section 11-A,14,,Syp. Antihelminthic,sec11a_14,
Section 11-A,15,,I/V infusions,sec11a_15,oKBIEnLsYDq
Section 11-A,16,,Inj. Dexamethasone,sec11a_16,TZjONX9JamR
Section 11-A,17,,Tab. Iron Folic Acid,sec11a_17,
Section 11-A,18,,ORS (low Osmolarity),sec11a_18,nAPqLtt4eYd
Section 11-A,19,,Chlorohexidine (CHX),sec11a_19,JO4YMw7zdX0
Section 11-A,20,,Tab. Misoprostol,sec11a_20,
Section 11-A,21,,Inj. Magnesium Sulfate,sec11a_21,d7oB6ssI4R0
Section 11-A,22,,Syp. Zinc,sec11a_22,
Section 11-A,23,,Zinc Tablet (DT),sec11a_23,
Section 11-A,24,,Anti-Snake Venom,sec11a_24,l8SH9Vid9VM
Section 11-B,1,,BCG Vaccine,sec11b_1,AH25Nhd8If5
Section 11-B,2,,Pentavalent Vaccine,sec11b_2,u3yNYZl4126
Section 11-B,3,,OPV,sec11b_3,lRLC0VawZcx
Section 11-B,4,,IPV Vaccine,sec11b_4,ATxfA8PbkIr
Section 11-B,5,,Hepatitis - B Vaccine,sec11b_5,ttdthYI4Npi
Section 11-B,6,,Measles Vaccine,sec11b_6,XzlQN0SZFCa
Section 11-B,7,,Tetanus Toxoid,sec11b_7,
Section 11-B,8,,PCV-10 Vaccine,sec11b_8,dltL8OE9M52
Section 11-B,9,,Rota Virus Vaccine,sec11b_9,
Section 11-B,10,,Anti-Rabbies Vaccine,sec11b_10,m9PpdPEfGQs
Section 11-B,11,,Vaccine Syringes,sec11b_11,
